2018-07-30 09:17:19,142 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
2018-07-30 09:17:19,374 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:17:19,374 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
2018-07-30 09:17:25,016 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
2018-07-30 09:17:25,214 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:17:25,214 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
2018-07-30 09:17:47,897 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
2018-07-30 09:17:48,080 [Worker-22] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:17:48,081 [Worker-22] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
2018-07-30 09:18:03,266 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
